x,y,species cloglog values
1.0,1.0,0.38066986
2.0,2.0,4.3661904E-4
3.0,3.0,2.5121833E-4
4.0,4.0,0.0021312914
5.0,5.0,0.03423227
6.0,6.0,0.0018405914
7.0,7.0,4.0067433E-4
8.0,8.0,0.05561276
9.0,9.0,8.738862E-6
10.0,10.0,0.0037943963
11.0,11.0,9.783849E-4
12.0,12.0,0.30667105
13.0,13.0,0.013118083
14.0,14.0,0.0015869975
15.0,15.0,0.0017391142
16.0,16.0,0.030663414
17.0,17.0,0.0165594
18.0,18.0,0.0011056791
19.0,19.0,1.5759621E-4
20.0,20.0,2.398276E-5
21.0,21.0,0.0011912747
22.0,22.0,0.003628869
23.0,23.0,0.30810207
24.0,24.0,5.1750365E-4
25.0,25.0,0.006345904
26.0,26.0,1.4560741E-4
27.0,27.0,0.34227452
28.0,28.0,3.3712317E-5
29.0,29.0,0.0025618977
30.0,30.0,0.0057535614
31.0,31.0,4.6284735E-5
32.0,32.0,0.0011793731
33.0,33.0,8.4064835E-5
34.0,34.0,5.7148834E-4
35.0,35.0,1.0610813E-5
36.0,36.0,5.175996E-6
37.0,37.0,2.6859336E-5
38.0,38.0,4.1861425E-5
39.0,39.0,4.9589904E-5
40.0,40.0,9.672902E-6
41.0,41.0,3.6831792E-5
42.0,42.0,4.2868033E-4
43.0,43.0,1.0458651E-4
44.0,44.0,0.0016175607
45.0,45.0,0.030513627
46.0,46.0,0.0034584482
47.0,47.0,0.0013974647
48.0,48.0,7.858061E-6
49.0,49.0,0.027009608
50.0,50.0,8.274212E-6
51.0,51.0,0.0013334817
52.0,52.0,0.004260041
53.0,53.0,0.0037546835
54.0,54.0,0.03613604
55.0,55.0,0.0010876908
56.0,56.0,0.0202879
57.0,57.0,9.598546E-4
58.0,58.0,0.001617717
59.0,59.0,0.003203164
60.0,60.0,0.017816946
61.0,61.0,1.1763437E-5
62.0,62.0,0.0026603406
63.0,63.0,8.573449E-6
64.0,64.0,5.921368E-4
65.0,65.0,4.2825406E-5
66.0,66.0,0.004887609
67.0,67.0,0.003401714
68.0,68.0,4.8306363E-4
69.0,69.0,4.051312E-5
70.0,70.0,1.0353433E-4
71.0,71.0,2.9009374E-4
72.0,72.0,5.137914E-6
73.0,73.0,0.0200364
74.0,74.0,3.0400202E-4
75.0,75.0,4.8020753E-4
76.0,76.0,1.09607994E-4
77.0,77.0,1.2190561E-5
