Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.85349E-12,0.000000001,0.000000025,0.999847967,0,0
7.45553E-12,0.000000003,0.000000031,0.99977195,0,0
1.6764E-11,0.00000001,0.000000071,0.9995439,0,0
2.63873E-11,0.000000026,0.000000111,0.999277841,0,0
6.78141E-11,0.000000102,0.000000285,0.998669707,0,0
1.18592E-10,0.000000252,0.000000499,0.998099582,0,0
2.30176E-10,0.000001012,0.000000968,0.996427214,0,0
3.52744E-10,0.000002518,0.000001484,0.994488788,0,0
6.14554E-10,0.000010014,0.000002585,0.9886355,0,0
1.01822E-9,0.000025097,0.000004283,0.981641961,0,0
1.44688E-9,0.000050078,0.000006087,0.973812239,0,0
2.05067E-9,0.000100199,0.000008627,0.963055872,0,0
3.4194E-9,0.000250186,0.000014384,0.941809198,0,0
5.20147E-9,0.000500314,0.000021881,0.919688331,0,0
8.01409E-9,0.0010005,0.000033712,0.890839985,0,0
1.46489E-8,0.002500064,0.000061622,0.839376663,0,0
2.53034E-8,0.005001468,0.000106438,0.791258077,0,0
4.49948E-8,0.010000536,0.000189262,0.73595591,0,0
9.81258E-8,0.025006814,0.000412701,0.65267959,0,0
1.8341E-7,0.050014562,0.000771252,0.582896237,0.000380518,0
3.52114E-7,0.10002624,0.001480142,0.509616116,0.001902588,0
7.24318E-7,0.200054469,0.003042349,0.435613835,0.002283105,0
1.09832E-6,0.300002577,0.004609662,0.393538578,0.002663623,0
1.48025E-6,0.400104838,0.006207601,0.363702014,0.002663623,0
1.85328E-6,0.500111187,0.007765894,0.340706956,0.004185693,0
2.26579E-6,0.600195217,0.009486202,0.322158875,0.004185693,0
2.62586E-6,0.700241327,0.010985412,0.306651463,0.004185693,0
2.81554E-6,0.750032378,0.011774248,0.299695933,0.004185693,0
2.99932E-6,0.800038012,0.012537994,0.293158495,0.004946728,0
3.36608E-6,0.900241983,0.014060319,0.281185861,0.004946728,0
3.74826E-6,1.00002199,0.015644147,0.27054352,0.004946728,0
4.13418E-6,1.100064265,0.017240881,0.260889396,0.004946728,0
4.53409E-6,1.200321075,0.018892809,0.252109464,0.004946728,0
5.0134E-6,1.300173286,0.020869039,0.244165716,0.004946728,0
5.48494E-6,1.400346743,0.022809325,0.236906119,0.004946728,0
5.9906E-6,1.500024933,0.024885771,0.230292664,0.004946728,0
7.29533E-6,1.750709051,0.030223106,0.215887495,0.006468798,0
8.65922E-6,2.000855761,0.035771254,0.20395287,0.006849315,0
1.05919E-5,2.250257531,0.04357888,0.194070696,0.00761035,0
1.27499E-5,2.500732152,0.052221971,0.185860889,0.011415525,0
1.54294E-5,2.75054434,0.062845307,0.179095401,0.011415525,0
1.80291E-5,3.001359155,0.073038196,0.173432155,0.011415525,0
